SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1543763,293971,Cash loans,16708.59,270000.0,299223.0,,270000.0,TUESDAY,19,Y,1,,,,XNA,Approved,-724,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,365243.0,-694.0,-4.0,-4.0,365243.0,1.0
1955771,317249,Cash loans,28330.65,297000.0,297000.0,,297000.0,THURSDAY,11,Y,1,,,,XNA,Approved,-160,Cash through the bank,XAP,Other_B,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-130.0,200.0,-10.0,-3.0,0.0
2423644,126707,Cash loans,,0.0,0.0,,,SUNDAY,14,Y,1,,,,XNA,Canceled,-317,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1150047,353814,Revolving loans,13500.0,0.0,270000.0,,,WEDNESDAY,15,Y,1,,,,XAP,Approved,-1079,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
2067832,131286,Revolving loans,,0.0,0.0,,,TUESDAY,16,Y,1,,,,XAP,Canceled,-461,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,0,XNA,,XNA,Card Street,,,,,,
2587763,325817,Cash loans,22289.985,360000.0,481009.5,,360000.0,MONDAY,12,Y,1,,,,Urgent needs,Refused,-516,Cash through the bank,SCO,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,middle,Cash Street: middle,,,,,,
1456702,280342,Cash loans,31206.465,454500.0,558855.0,,454500.0,THURSDAY,16,Y,1,,,,XNA,Approved,-576,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,365243.0,-546.0,144.0,365243.0,365243.0,1.0
2526101,339954,Consumer loans,3339.36,66240.0,73732.5,0.0,66240.0,THURSDAY,17,Y,1,0.0,,,XAP,Approved,-1021,Cash through the bank,XAP,Family,Repeater,Photo / Cinema Equipment,POS,XNA,Country-wide,3102,Consumer electronics,24.0,low_action,POS household without interest,,,,,,
1726267,131286,Consumer loans,,32849.73,32849.73,,32849.73,TUESDAY,16,Y,1,,,,XAP,Unused offer,-1630,Cash through the bank,CLIENT,"Spouse, partner",New,Mobile,XNA,XNA,Country-wide,2850,Consumer electronics,,XNA,POS household with interest,,,,,,
2591395,154747,Cash loans,22206.375,697500.0,697500.0,,697500.0,SUNDAY,12,Y,1,,,,Buying a home,Refused,-300,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low,,,,,,
2750754,170148,Cash loans,,0.0,0.0,,,WEDNESDAY,7,Y,1,,,,XNA,Canceled,-562,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1001554,396041,Consumer loans,8067.195,178123.5,178123.5,0.0,178123.5,SATURDAY,17,Y,1,0.0,,,XAP,Approved,-579,Cash through the bank,XAP,,Refreshed,Furniture,POS,XNA,Country-wide,120,Furniture,24.0,low_action,POS industry without interest,365243.0,-548.0,142.0,-8.0,-4.0,0.0
2609640,249909,Consumer loans,5907.735,31761.0,33439.5,0.0,31761.0,WEDNESDAY,15,Y,1,0.0,,,XAP,Approved,-936,XNA,XAP,Unaccompanied,New,Homewares,POS,XNA,Stone,25,Construction,6.0,low_normal,POS industry with interest,365243.0,-904.0,-754.0,-754.0,-750.0,0.0
1923682,238850,Cash loans,9842.4,90000.0,90000.0,0.0,90000.0,THURSDAY,12,Y,1,0.0,,,XNA,Approved,-2462,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,12.0,high,Cash Street: high,365243.0,-2432.0,-2102.0,-2102.0,-2095.0,0.0
1843885,182501,Consumer loans,18070.245,93825.0,88623.0,9382.5,93825.0,THURSDAY,16,Y,1,0.1042634898505232,,,XAP,Approved,-1420,Cash through the bank,XAP,Children,Refreshed,Computers,POS,XNA,Country-wide,50,Connectivity,6.0,high,POS mobile with interest,365243.0,-1389.0,-1239.0,-1239.0,-1234.0,0.0
1281172,131286,Consumer loans,10498.545,50481.0,54477.0,0.0,50481.0,THURSDAY,15,Y,1,0.0,,,XAP,Approved,-242,Cash through the bank,XAP,Unaccompanied,Repeater,Photo / Cinema Equipment,POS,XNA,Country-wide,1099,Consumer electronics,6.0,middle,POS household with interest,365243.0,-211.0,-61.0,-61.0,-50.0,1.0
2230605,126707,Cash loans,,0.0,0.0,,,FRIDAY,16,Y,1,,,,XNA,Canceled,-25,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1289961,264627,Cash loans,20376.0,450000.0,450000.0,,450000.0,TUESDAY,13,Y,1,,,,XNA,Approved,-1578,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,middle,Cash X-Sell: middle,365243.0,-1548.0,-138.0,-1158.0,-1152.0,0.0
1637580,304977,Cash loans,23742.0,900000.0,900000.0,,900000.0,FRIDAY,12,Y,1,,,,XNA,Canceled,-488,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,60.0,low_action,Cash X-Sell: low,,,,,,
2375539,325817,Cash loans,,0.0,0.0,,,MONDAY,10,Y,1,,,,XNA,Canceled,-516,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1362500,238850,Cash loans,16267.905,198000.0,217602.0,,198000.0,FRIDAY,9,Y,1,,,,XNA,Approved,-1306,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-1276.0,-766.0,-766.0,-758.0,1.0
2746536,320940,Consumer loans,4553.505,36787.5,36373.5,3690.0,36787.5,TUESDAY,13,Y,1,0.1003093951987583,,,XAP,Approved,-2199,Cash through the bank,XAP,Children,New,Mobile,POS,XNA,Stone,35,Connectivity,12.0,high,POS mobile with interest,365243.0,-2168.0,-1838.0,-1928.0,-1921.0,0.0
1016527,261500,Consumer loans,12532.59,241875.0,289768.5,0.0,241875.0,WEDNESDAY,11,Y,1,0.0,,,XAP,Approved,-966,Cash through the bank,XAP,Family,New,Construction Materials,POS,XNA,Stone,20,Construction,36.0,middle,POS industry with interest,365243.0,-935.0,115.0,365243.0,365243.0,0.0
1718301,138820,Consumer loans,5712.885,47025.0,52609.5,0.0,47025.0,TUESDAY,15,Y,1,0.0,,,XAP,Approved,-232,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Country-wide,200,Consumer electronics,12.0,middle,POS mobile with interest,365243.0,-201.0,129.0,365243.0,365243.0,0.0
1043097,261500,Cash loans,11895.885,135000.0,148365.0,,135000.0,FRIDAY,9,Y,1,,,,XNA,Approved,-754,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-724.0,-214.0,-214.0,-206.0,1.0
1799505,283065,Consumer loans,8770.77,45855.0,48276.0,0.0,45855.0,FRIDAY,17,Y,1,0.0,,,XAP,Approved,-806,Cash through the bank,XAP,,New,Consumer Electronics,POS,XNA,Stone,750,Consumer electronics,6.0,middle,POS household with interest,365243.0,-775.0,-625.0,-625.0,-622.0,0.0
1963907,344176,Revolving loans,6750.0,135000.0,135000.0,,135000.0,SATURDAY,10,Y,1,,,,XAP,Approved,-100,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1497940,304977,Cash loans,,0.0,0.0,,,SATURDAY,10,Y,1,,,,XNA,Canceled,-488,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1259191,320940,Consumer loans,9890.865,95849.865,105966.0,4.365,95849.865,TUESDAY,18,Y,1,4.4860483571815736e-05,,,XAP,Approved,-1072,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Country-wide,180,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-1041.0,-711.0,-1041.0,-1032.0,0.0
1168030,398163,Revolving loans,6750.0,135000.0,135000.0,,135000.0,MONDAY,9,Y,1,,,,XAP,Refused,-148,XNA,HC,Unaccompanied,Repeater,XNA,Cards,walk-in,Channel of corporate sales,-1,XNA,0.0,XNA,Card Street,,,,,,
1153736,402376,Revolving loans,18000.0,0.0,360000.0,,,FRIDAY,13,Y,1,,,,XAP,Approved,-761,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,0,XNA,0.0,XNA,Card X-Sell,-757.0,-710.0,365243.0,365243.0,365243.0,0.0
2251459,436323,Consumer loans,4941.0,39582.9,43502.4,0.0,39582.9,MONDAY,12,Y,1,0.0,,,XAP,Approved,-387,Cash through the bank,XAP,,New,Mobile,POS,XNA,Country-wide,46,Connectivity,10.0,low_normal,POS mobile without interest,365243.0,-341.0,-71.0,-71.0,-66.0,0.0
1025450,293971,Consumer loans,4123.17,91039.5,91039.5,0.0,91039.5,WEDNESDAY,11,Y,1,0.0,,,XAP,Approved,-373,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,100,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-343.0,347.0,365243.0,365243.0,0.0
1439813,402376,Cash loans,30640.41,279000.0,308461.5,,279000.0,FRIDAY,11,Y,1,,,,XNA,Approved,-383,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-353.0,-23.0,-23.0,-17.0,1.0
1308129,238850,Cash loans,13938.84,139500.0,139500.0,,139500.0,THURSDAY,10,Y,1,,,,XNA,Approved,-1741,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,12.0,middle,Cash X-Sell: middle,365243.0,-1711.0,-1381.0,-1381.0,-1374.0,0.0
2713945,125093,Consumer loans,3237.705,29790.0,25798.5,5958.0,29790.0,WEDNESDAY,12,Y,1,0.2043299367488116,,,XAP,Approved,-1483,Cash through the bank,XAP,Unaccompanied,Refreshed,Mobile,POS,XNA,Country-wide,45,Connectivity,10.0,high,POS mobile with interest,365243.0,-1452.0,-1182.0,-1362.0,-1353.0,0.0
1060675,398163,Consumer loans,10810.08,46795.5,51943.5,0.0,46795.5,FRIDAY,18,Y,1,0.0,,,XAP,Approved,-1614,Cash through the bank,XAP,"Spouse, partner",Repeater,Consumer Electronics,POS,XNA,Country-wide,2000,Consumer electronics,6.0,high,POS household with interest,365243.0,-1583.0,-1433.0,-1493.0,-1485.0,0.0
1240172,344176,Consumer loans,14654.745,153859.5,167062.5,0.0,153859.5,SATURDAY,7,Y,1,0.0,,,XAP,Approved,-632,XNA,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Regional / Local,516,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-600.0,-270.0,-270.0,-267.0,0.0
2802546,304977,Cash loans,,0.0,0.0,,,SATURDAY,10,Y,1,,,,XNA,Refused,-488,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1973769,126707,Consumer loans,9193.185,108652.5,125865.0,0.0,108652.5,SUNDAY,14,Y,1,0.0,,,XAP,Approved,-786,Cash through the bank,XAP,,Repeater,Computers,POS,XNA,Country-wide,2078,Consumer electronics,18.0,middle,POS household with interest,365243.0,-755.0,-245.0,-485.0,-478.0,0.0
1970129,280342,Cash loans,52623.0,900000.0,900000.0,,900000.0,THURSDAY,12,Y,1,,,,XNA,Approved,-1486,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,middle,Cash X-Sell: middle,365243.0,-1456.0,-766.0,-783.0,-776.0,0.0
2052561,213493,Consumer loans,8636.49,228600.0,228600.0,0.0,228600.0,SATURDAY,8,Y,1,0.0,,,XAP,Refused,-742,XNA,LIMIT,,Repeater,Construction Materials,POS,XNA,Stone,60,Construction,36.0,low_normal,POS industry with interest,,,,,,
1702115,264627,Cash loans,46484.46,1575000.0,1762110.0,,1575000.0,MONDAY,10,Y,1,,,,XNA,Refused,-1152,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_action,Cash Street: low,,,,,,
1668925,317249,Cash loans,34848.0,450000.0,481185.0,,450000.0,TUESDAY,12,Y,1,,,,XNA,Approved,-1387,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-1357.0,-847.0,-1117.0,-1109.0,1.0
1363939,280342,Consumer loans,9164.7,112500.0,76500.0,36000.0,112500.0,FRIDAY,10,Y,1,0.3485090909090909,,,XAP,Approved,-1912,Cash through the bank,XAP,Family,Repeater,Clothing and Accessories,POS,XNA,Regional / Local,830,Clothing,10.0,middle,POS industry with interest,365243.0,-1881.0,-1611.0,-1791.0,-1784.0,0.0
1750867,208312,Cash loans,17887.5,225000.0,225000.0,0.0,225000.0,TUESDAY,10,Y,1,0.0,,,XNA,Refused,-2431,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash Street: middle,,,,,,
1141140,126707,Revolving loans,,0.0,0.0,,,THURSDAY,18,Y,1,,,,XAP,Canceled,-404,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
1489539,126707,Revolving loans,4500.0,90000.0,90000.0,,90000.0,THURSDAY,18,Y,1,,,,XAP,Approved,-404,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,-396.0,365243.0,365243.0,365243.0,-187.0,0.0
2711233,396041,Cash loans,,0.0,0.0,,,TUESDAY,15,Y,1,,,,XNA,Canceled,-177,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1237338,407315,Consumer loans,13207.275,137398.5,148279.5,0.0,137398.5,SATURDAY,16,Y,1,0.0,,,XAP,Approved,-245,Cash through the bank,XAP,Unaccompanied,Repeater,Clothing and Accessories,POS,XNA,Regional / Local,276,Clothing,12.0,low_action,POS industry without interest,365243.0,-215.0,115.0,365243.0,365243.0,1.0
2457875,353814,Cash loans,10945.17,247500.0,301077.0,,247500.0,WEDNESDAY,14,Y,1,,,,XNA,Approved,-1079,Cash through the bank,XAP,Children,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low,365243.0,-1049.0,361.0,365243.0,365243.0,1.0
1344213,325817,Cash loans,,0.0,0.0,,,MONDAY,11,Y,1,,,,XNA,Canceled,-516,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
